Querier,Cache log
Querier,Cache log
Querier,Cache log
34084,miss
20011,miss
20667,miss
13471,miss
5566,miss
17463,miss
2836,miss
5704,miss
32069,miss
13073,miss
29072,miss
17956,miss
25357,miss
364,miss
3756,miss
33728,miss
31863,miss
7310,miss
14312,miss
10283,miss
30720,miss
33733,miss
29360,miss
30350,miss
11135,miss
17225,miss
5997,miss
22979,miss
34568,miss
31102,miss
35240,miss
1023,miss
26994,miss
4415,miss
26484,miss
17778,miss
24125,miss
12873,miss
1085,miss
5997,hit
16142,miss
34058,miss
20667,regenerate
23416,miss
30414,miss
19421,miss
6533,miss
12054,miss
24388,miss
5997,hit
2427,miss
6415,miss
35546,miss
9178,miss
34058,updation
11135,hit
17621,miss
12141,miss
32741,miss
34280,miss
4415,regenerate
25223,miss
34679,miss
26994,updation
1545,miss
16749,miss
4095,miss
6029,miss
19924,miss
34397,miss
21396,miss
16771,miss
28490,miss
12141,updation
16360,miss
13819,miss
31863,regenerate
18654,miss
21773,miss
22764,miss
11374,miss
28393,miss
15230,miss
34380,miss
34342,miss
16142,updation
31342,miss
28393,hit
2045,miss
13073,updation
2427,updation
16607,miss
17196,miss
5124,miss
8071,miss
19744,miss
24514,miss
16749,regenerate
34039,miss
16228,miss
21475,miss
30311,miss
32913,miss
32816,miss
18654,hit
15088,miss
3100,miss
32888,miss
36373,miss
11374,regenerate
9746,miss
7802,miss
26555,miss
32603,miss
17467,miss
8620,miss
17778,updation
1085,updation
13797,miss
34058,updation
35836,miss
8389,miss
17463,updation
16377,miss
16920,miss
7366,miss
26096,miss
23519,miss
33049,miss
2857,miss
1704,miss
4415,regenerate
13819,updation
1040,miss
17621,regenerate
17778,regenerate
1085,regenerate
11650,miss
35244,miss
26371,miss
9375,miss
7802,regenerate
28247,miss
5833,miss
26994,updation
28836,miss
17798,miss
33733,updation
31943,miss
25223,updation
29372,miss
34058,updation
18131,miss
12387,miss
10479,miss
6415,updation
24200,miss
31342,updation
5379,miss
32818,miss
17621,updation
23400,miss
5352,miss
18784,miss
5704,updation
32910,miss
36373,regenerate
35796,miss
9476,miss
31303,miss
20718,miss
12487,miss
1766,miss
14525,miss
35397,miss
19684,miss
11629,miss
30350,updation
4702,miss
35302,miss
21345,miss
27302,miss
22335,miss
15486,miss
31342,regenerate
22305,miss
16622,miss
5352,hit
4465,miss
25357,updation
14525,hit
2561,miss
16622,hit
5706,miss
30134,miss
8010,miss
8197,miss
15538,miss
18784,hit
11374,updation
28194,miss
14068,miss
24802,miss
8071,updation
28836,hit
30720,updation
3718,miss
1040,updation
34912,miss
5766,miss
11650,updation
8197,hit
18131,regenerate
6415,updation
17225,updation
2836,updation
4415,regenerate
1351,miss
34618,miss
20239,miss
32083,miss
26484,updation
3914,miss
17196,updation
30696,miss
26096,updation
29514,miss
18530,miss
22979,updation
12387,updation
34161,miss
28513,miss
6415,regenerate
30707,miss
26994,updation
3822,miss
34679,updation
27323,miss
19421,updation
13959,miss
30736,miss
6650,miss
27259,miss
9178,updation
36371,miss
15230,regenerate
11221,miss
12108,miss
6318,miss
23969,miss
31863,updation
9939,miss
16692,miss
18575,miss
20995,miss
10283,updation
32913,updation
19684,hit
20995,regenerate
5704,updation
6318,regenerate
7069,miss
5692,miss
16491,miss
5124,updation
17196,regenerate
12499,miss
5706,hit
17225,regenerate
11221,updation
1995,miss
