23,178,198,37,1099
34,139,112,29,860
37,156,118,25,961
38,174,133,37,1074
43,156,122,32,963
53,157,116,28,969
56,191,140,8,1150
69,188,168,33,1160
76,145,112,25,893
77,172,125,32,1059
80,151,108,30,930
81,175,151,35,1081
87,182,175,42,1125
100,165,129,30,1017
114,102,76,8,617
118,177,187,39,1094
120,185,148,41,1142
133,187,145,14,1136
140,195,167,41,1203
141,245,189,14,1477
142,182,144,33,1120
149,149,111,30,918
157,184,155,37,1134
171,210,163,38,1294
173,180,148,38,1113
177,189,144,25,1153
180,147,113,32,910
185,244,203,26,1487
186,177,136,32,1090
193,186,144,36,1147
210,176,144,35,1085
216,152,125,31,938
217,160,118,31,988
235,206,161,39,1271
251,212,171,39,1308
257,166,135,20,1010
262,206,153,19,1252
263,185,148,32,1140
265,275,211,24,1668
280,170,134,35,1051
299,158,119,30,976
300,193,150,38,1195
314,150,119,28,925
317,178,133,34,1100
326,213,164,41,1315
353,196,144,40,1209
355,189,162,37,1169
356,231,181,43,1425
364,169,130,32,1044
372,209,163,40,1290
387,197,152,40,1213
393,202,160,41,1246
401,147,111,26,905
402,174,133,30,1070
416,230,173,44,1419
428,186,145,17,1131
432,213,156,17,1292
433,186,140,16,1131
439,201,156,40,1243
453,251,188,44,1545
459,224,176,47,1387
466,158,122,30,975
474,192,143,30,1178
479,189,137,8,1138
496,164,119,22,1006
501,153,120,16,933
532,207,166,37,1275
542,230,173,44,1420
544,205,158,37,1264
550,222,161,41,1366
555,187,146,21,1141
560,207,149,37,1273
568,230,170,37,1414
580,233,178,43,1435
588,132,98,25,816
597,131,101,16,800
612,202,162,39,1248
614,264,200,49,1627
625,234,171,17,1419
633,167,123,20,1020
634,241,193,42,1485
637,238,188,41,1464
638,188,149,33,1157
640,227,159,25,1383
649,137,94,26,845
651,228,187,44,1408
653,169,129,37,1049
654,258,190,46,1591
656,150,110,16,915
673,231,186,42,1423
675,243,182,12,1469
676,221,172,38,1358
677,234,180,44,1445
690,245,178,45,1510
696,259,206,40,1589
698,236,181,41,1451
707,151,113,3,909
710,250,192,34,1530
717,162,121,34,1000
719,153,156,25,941
721,224,169,45,1385
727,131,94,28,809
731,183,132,32,1127
739,194,144,24,1183
740,140,101,29,865
741,224,165,41,1382
746,170,127,35,1052
755,188,132,7,1132
761,151,111,29,932
783,205,151,34,1261
786,195,147,36,1200
795,220,711,47,1363
798,194,138,22,1182
803,225,169,15,1362
814,218,160,42,1348
827,184,139,37,1136
828,248,179,42,1527
836,139,95,17,846
857,179,134,33,1104
864,137,98,32,850
865,220,165,42,1359
870,121,81,24,747
887,112,88,25,693
888,180,148,34,1113
906,159,117,34,983
909,165,122,39,1023
912,128,89,28,793
922,166,121,40,1029
935,112,78,26,692
945,164,145,33,1011
947,80,55,18,495
955,105,84,21,648
958,211,172,42,1303
989,230,183,41,1416
999,143,103,27,883
1008,217,172,35,1333
1023,202,148,39,1248
1028,181,132,8,1090
